IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name
61.246.6.198,2024-01-18,13:51:07 UTC,["necessary"],desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110043,28.652,77.1663
27.255.172.14,2024-01-20,09:27:31 UTC,["necessary"],desktop,en,Chrome,Windows,India,PB,Punjab,Mohali,160103,30.674,76.7249
61.246.6.198,2024-01-20,12:17:39 UTC,["necessary"],desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110043,28.652,77.1663
61.246.6.198,2024-01-25,05:32:56 UTC,["necessary"],desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110043,28.652,77.1663
61.246.6.198,2024-01-25,11:37:05 UTC,["necessary"],desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110043,28.652,77.1663
103.67.232.23,2024-01-26,11:03:16 UTC,["necessary"],desktop,en,Chrome,Windows,India,HR,Haryana,Kaithal,136027,29.8015,76.4
103.67.232.23,2024-01-26,11:49:58 UTC,["necessary"],desktop,en,Chrome,Windows,India,HR,Haryana,Kaithal,136027,29.8015,76.4
103.67.232.23,2024-01-26,14:25:01 UTC,["necessary"],desktop,en,Chrome,Windows,India,HR,Haryana,Kaithal,136027,29.8015,76.4
103.153.105.13,2024-01-30,12:51:56 UTC,["necessary"],desktop,en,Chrome,Windows,India,KL,Kerala,Kannur,670003,11.8653,75.352
61.246.6.198,2024-01-31,12:12:58 UTC,["necessary"],desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110043,28.652,77.1663
61.246.6.198,2024-05-16,09:12:35 UTC,["necessary"],desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110043,28.652,77.1663
103.175.89.130,2024-05-16,09:35:30 UTC,["necessary"],desktop,en,Chrome,Windows,India,KL,Kerala,Kannur,670001,11.8653,75.352
106.51.10.106,2024-05-16,09:47:31 UTC,["necessary"],desktop,en,Chrome,Windows,India,KA,Karnataka,Bengaluru,560076,12.9634,77.5855
74.77.22.18,2024-05-16,09:57:37 UTC,["necessary"],desktop,en,Safari,OS X,United States,NY,New York,Warrensburg,12885,43.4959,-73.795
